show_id,show_date_iso,venue_slug,year,era_label,has_special,perf_count,openers,closers,longest_jam_song,longest_jam_sec
1987-10-10_the-ranch,1987-10-10,the-ranch,1987,1.0 (1983–2000),0,2,,divided sky,divided sky,820.3885
1987-10-14_hunt-s,1987-10-14,hunt-s,1987,1.0 (1983–2000),0,15,peaches en regalia; take the a train,possum; makisupa policeman,david bowie,699.768
1987-10-31_sculpture-room-goddard-college,1987-10-31,sculpture-room-goddard-college,1987,1.0 (1983–2000),1,30,jam; whipping post,big black furry creature from mars; david bowie,you enjoy myself,899.056
1987-11-18_hunt-s,1987-11-18,hunt-s,1987,1.0 (1983–2000),0,18,slave to the traffic light; the man who stepped into yesterday,good times bad times; ac dc bag,fluffhead,896.731
1987-11-19_hunt-s,1987-11-19,hunt-s,1987,1.0 (1983–2000),0,29,mcgrupp and the watchful hosemasters; sparks,fire; alumni blues; slave to the traffic light,fluffhead,983.615
1988-01-27_gallagher-s,1988-01-27,gallagher-s,1988,1.0 (1983–2000),0,29,funky bitch; mustang sally,good times bad times; whipping post; harry hood,fluffhead,905.43
1988-02-03_gallagher-s,1988-02-03,gallagher-s,1988,1.0 (1983–2000),0,6,david bowie,david bowie; possum,david bowie,1077.6259599999998
1988-02-07_nectar-s,1988-02-07,nectar-s,1988,1.0 (1983–2000),0,30,fire; mcgrupp and the watchful hosemasters,david bowie; whipping post; good times bad times,david bowie,942.08
1988-02-08_nectar-s,1988-02-08,nectar-s,1988,1.0 (1983–2000),0,24,slave to the traffic light; funky bitch,you enjoy myself; run like an antelope; big black furry creature from mars,fluffhead,944.614
1988-02-20_st-lawrence-university,1988-02-20,st-lawrence-university,1988,1.0 (1983–2000),0,20,funky bitch; golgi apparatus,david bowie; slave to the traffic light; big black furry creature from mars,ac dc bag,942.811
1988-02-24_gallagher-s,1988-02-24,gallagher-s,1988,1.0 (1983–2000),0,18,funky bitch; fluffhead,david bowie; harry hood,david bowie,916.793
1988-02-26_living-and-learning-center-university-of-vermont,1988-02-26,living-and-learning-center-university-of-vermont,1988,1.0 (1983–2000),0,24,the curtain; suzy greenberg,good times bad times; whipping post,you enjoy myself,882.73
1988-03-11_the-base-lodge-stearns-hall-johnson-state-college,1988-03-11,the-base-lodge-stearns-hall-johnson-state-college,1988,1.0 (1983–2000),0,20,the chicken; funky bitch,david bowie; run like an antelope,fluffhead,923.429
1988-03-12_nectar-s,1988-03-12,nectar-s,1988,1.0 (1983–2000),0,11,jump monk; mcgrupp and the watchful hosemasters,run like an antelope,the lizards,661.447
1988-03-21_nectar-s,1988-03-21,nectar-s,1988,1.0 (1983–2000),0,16,suzy greenberg; golgi apparatus,the lizards; fly famous mockingbird,the lizards,671.086
1988-03-22_nectar-s,1988-03-22,nectar-s,1988,1.0 (1983–2000),0,15,harpua; wilson,ac dc bag,you enjoy myself,740.859
1988-03-31_kenny-s-castaways,1988-03-31,kenny-s-castaways,1988,1.0 (1983–2000),0,14,i didn t know; golgi apparatus,wilson,you enjoy myself,1063.21
1988-04-02_humphries-house-the-zoo-amherst-college,1988-04-02,humphries-house-the-zoo-amherst-college,1988,1.0 (1983–2000),0,2,fire; good times bad times,good times bad times,good times bad times,351.843
1988-04-22_university-of-vermont,1988-04-22,university-of-vermont,1988,1.0 (1983–2000),0,20,i didn t know; golgi apparatus,david bowie; run like an antelope,you enjoy myself,803.762
1988-05-14_goddard-college,1988-05-14,goddard-college,1988,1.0 (1983–2000),0,13,fire; i didn t know,take the a train,you enjoy myself,1048.842
1988-05-15_beecher-hill-farm,1988-05-15,beecher-hill-farm,1988,1.0 (1983–2000),0,25,alumni blues; letter to jimmy page,possum; harpua; fire,i didn t know,922.07
1988-05-22_nectar-s,1988-05-22,nectar-s,1988,1.0 (1983–2000),0,24,funky bitch; sneakin sally through the alley,fire; good times bad times; suzy greenberg,tela,937.639
1988-05-23_nectar-s,1988-05-23,nectar-s,1988,1.0 (1983–2000),0,9,take the a train; golgi apparatus,good times bad times,you enjoy myself,1077.6259599999998
1988-05-24_nectar-s,1988-05-24,nectar-s,1988,1.0 (1983–2000),0,26,the curtain with; rocky top,fire; whipping post; run like an antelope,jesus just left chicago,1077.6259599999998
1988-06-15_the-front,1988-06-15,the-front,1988,1.0 (1983–2000),0,23,suzy greenberg; alumni blues,golgi apparatus; dear mrs reagan,rocky top,957.257
1988-06-19_nectar-s,1988-06-19,nectar-s,1988,1.0 (1983–2000),0,23,the curtain with; funky bitch,you enjoy myself; run like an antelope; mcgrupp and the watchful hosemasters; jesus just left chicago,you enjoy myself,1063.21
1988-06-20_nectar-s,1988-06-20,nectar-s,1988,1.0 (1983–2000),0,20,slave to the traffic light; peaches en regalia,the lizards; i didn t know; david bowie,jam,1077.6259599999998
1988-06-21_nectar-s,1988-06-21,nectar-s,1988,1.0 (1983–2000),0,21,fluffhead; rocky top,fire; golgi apparatus; whipping post,whipping post,1077.6259599999998
1988-06-24_halverson-s,1988-06-24,halverson-s,1988,1.0 (1983–2000),0,7,on your way down; golgi apparatus,fluffhead,you enjoy myself,1063.21
1988-07-07_the-front,1988-07-07,the-front,1988,1.0 (1983–2000),0,12,ac dc bag; you enjoy myself,bold as love; good times bad times,you enjoy myself,1063.21
1988-07-11_sam-s-tavern,1988-07-11,sam-s-tavern,1988,1.0 (1983–2000),0,14,satin doll; suzy greenberg,alumni blues; la grange,the curtain with,970.841
1988-07-12_sam-s-tavern,1988-07-12,sam-s-tavern,1988,1.0 (1983–2000),0,17,cities; the lizards,i didn t know; roll like a cantaloupe,you enjoy myself,1077.6259599999998
1988-07-23_pete-s-phabulous-phish-phest,1988-07-23,pete-s-phabulous-phish-phest,1988,1.0 (1983–2000),0,35,jam; colonel forbin s ascent,fire; peaches en regalia; good times bad times,the curtain with,1077.6259599999998
1988-07-24_nectar-s,1988-07-24,nectar-s,1988,1.0 (1983–2000),0,26,walk away; golgi apparatus,bold as love; david bowie; run like an antelope,avenu malkenu,888.973
1988-07-25_nectar-s,1988-07-25,nectar-s,1988,1.0 (1983–2000),0,12,mike s song; i am hydrogen,fluffhead; sanity; camel walk,fluffhead,869.616
1988-07-28_the-roma,1988-07-28,the-roma,1988,1.0 (1983–2000),0,8,,big black furry creature from mars,fluffhead,869.616
1988-07-29_the-roma,1988-07-29,the-roma,1988,1.0 (1983–2000),0,24,you enjoy myself; satin doll,fire; good times bad times; bold as love,the curtain with,992.496
1988-07-30_the-roma,1988-07-30,the-roma,1988,1.0 (1983–2000),0,22,all blues; mr p c,mr p c; corinna; harpua; run like an antelope; fire,fluffhead,881.424
1988-08-03_fly-me-to-the-moon-saloon,1988-08-03,fly-me-to-the-moon-saloon,1988,1.0 (1983–2000),0,24,possum; on your way down,good times bad times; jesus just left chicago; walk away,you enjoy myself,1003.259
1988-08-04_the-roma,1988-08-04,the-roma,1988,1.0 (1983–2000),0,32,the man who stepped into yesterday; avenu malkenu,david bowie; possum; dear mrs reagan; fluffhead,fluffhead,848.144
1988-08-05_the-roma,1988-08-05,the-roma,1988,1.0 (1983–2000),0,27,la grange; you enjoy myself,fire; the lizards; whipping post; harpua,whipping post,1077.6259599999998
1988-08-13_the-front,1988-08-13,the-front,1988,1.0 (1983–2000),0,18,peaches en regalia; ac dc bag,fire; whipping post,possum,855.641
1988-08-22_nectar-s,1988-08-22,nectar-s,1988,1.0 (1983–2000),0,11,take the a train; satin doll,the lizards,fluffhead,869.616
1988-08-27_food-court-mont-alto-campus-penn-state-university,1988-08-27,food-court-mont-alto-campus-penn-state-university,1988,1.0 (1983–2000),0,11,satin doll; you enjoy myself,good times bad times,you enjoy myself,952.32
1988-09-08_the-front,1988-09-08,the-front,1988,1.0 (1983–2000),0,16,peaches en regalia; walk away,bold as love; whipping post,you enjoy myself,1075.461
1988-09-12_sam-s-tavern,1988-09-12,sam-s-tavern,1988,1.0 (1983–2000),0,14,shaggy dog; take the a train,bold as love; esther,harry hood,762.54
1988-09-13_sam-s-tavern,1988-09-13,sam-s-tavern,1988,1.0 (1983–2000),0,23,walk away; funky bitch,good times bad times; fluffhead; fire,you enjoy myself,1077.6259599999998
1988-09-22_campus-pub-binghamton-college,1988-09-22,campus-pub-binghamton-college,1988,1.0 (1983–2000),0,5,mcgrupp and the watchful hosemasters; take the a train,david bowie,you enjoy myself,1063.21
1988-09-24_humphries-house-the-zoo-amherst-college,1988-09-24,humphries-house-the-zoo-amherst-college,1988,1.0 (1983–2000),0,26,golgi apparatus; on your way down,bold as love; whipping post; big black furry creature from mars,letter to jimmy page,867.553
1988-10-29_sculpture-room-goddard-college,1988-10-29,sculpture-room-goddard-college,1988,1.0 (1983–2000),0,34,suzy greenberg; the lizards,harry hood; fire; funky bitch,alumni blues,745.509
1988-11-03_molly-s-cafe,1988-11-03,molly-s-cafe,1988,1.0 (1983–2000),0,24,fire; golgi apparatus,good times bad times; run like an antelope; david bowie,fluffhead,908.147
1988-11-04_nardis-restaurant,1988-11-04,nardis-restaurant,1988,1.0 (1983–2000),0,1,mike s song,mike s song,mike s song,448.261
1988-11-05_sigma-phi-fraternity-hamilton-college,1988-11-05,sigma-phi-fraternity-hamilton-college,1988,1.0 (1983–2000),0,28,slave to the traffic light; time loves a hero,david bowie; good times bad times; divided sky,fluffhead,915.278
1988-11-11_old-stone-church,1988-11-11,old-stone-church,1988,1.0 (1983–2000),0,18,i didn t know; good times bad times,david bowie; weekapaug groove; whipping post,you enjoy myself,1063.21
1988-12-02_molly-s-cafe,1988-12-02,molly-s-cafe,1988,1.0 (1983–2000),0,20,the sloth; golgi apparatus,good times bad times; possum,you enjoy myself,1063.21
1988-12-09_sheehan-s,1988-12-09,sheehan-s,1988,1.0 (1983–2000),0,1,take the a train,take the a train,take the a train,316.317
1988-12-10_the-red-barn-hampshire-college,1988-12-10,the-red-barn-hampshire-college,1988,1.0 (1983–2000),0,22,i didn t know; golgi apparatus,fly famous mockingbird; good times bad times; run like an antelope,letter to jimmy page,954.175
1988-12-17_old-stone-church,1988-12-17,old-stone-church,1988,1.0 (1983–2000),0,8,divided sky; you enjoy myself,david bowie,you enjoy myself,977.476
1989-01-18_gallagher-s,1989-01-18,gallagher-s,1989,1.0 (1983–2000),0,1,dear mrs reagan,dear mrs reagan,dear mrs reagan,285.022
1989-01-26_the-paradise,1989-01-26,the-paradise,1989,1.0 (1983–2000),0,24,i didn t know; golgi apparatus,good times bad times; david bowie; fire,letter to jimmy page,995.605
1989-02-06_the-front,1989-02-06,the-front,1989,1.0 (1983–2000),0,24,suzy greenberg; the curtain,you enjoy myself; i didn t know; corinna; david bowie,you enjoy myself,888.869
1989-02-07_the-front,1989-02-07,the-front,1989,1.0 (1983–2000),0,27,esther; mcgrupp and the watchful hosemasters,golgi apparatus; run like an antelope; whipping post; fire,alumni blues,618.318
1989-02-11_sheehan-s,1989-02-11,sheehan-s,1989,1.0 (1983–2000),0,2,the sloth; take the a train,take the a train,take the a train,316.317
1989-02-17_old-stone-church,1989-02-17,old-stone-church,1989,1.0 (1983–2000),0,10,ac dc bag; you enjoy myself,fluffhead,you enjoy myself,1063.21
1989-02-18_old-stone-church,1989-02-18,old-stone-church,1989,1.0 (1983–2000),0,22,the sloth; divided sky,good times bad times; david bowie; ac dc bag; fire,you enjoy myself,1048.503
1989-02-23_the-front,1989-02-23,the-front,1989,1.0 (1983–2000),0,2,satin doll; call it stormy monday but tuesday is just as bad,call it stormy monday but tuesday is just as bad,call it stormy monday but tuesday is just as bad,364.931
1989-02-24_the-front,1989-02-24,the-front,1989,1.0 (1983–2000),0,14,the man who stepped into yesterday; avenu malkenu,possum; camel walk,ac dc bag,974.55
1989-03-01_gallagher-s,1989-03-01,gallagher-s,1989,1.0 (1983–2000),0,29,funky bitch; possum,weekapaug groove; big black furry creature from mars; ride captain ride; fire,fluffhead,869.616
1989-03-03_living-and-learning-center-university-of-vermont,1989-03-03,living-and-learning-center-university-of-vermont,1989,1.0 (1983–2000),0,26,wilson; mcgrupp and the watchful hosemasters,good times bad times; david bowie; golgi apparatus,you enjoy myself,925.466
1989-03-04_the-wetlands-preserve,1989-03-04,the-wetlands-preserve,1989,1.0 (1983–2000),0,13,take the a train; i didn t know,good times bad times; contact,fluffhead,891.376
1989-03-05_anastasio-s-house,1989-03-05,anastasio-s-house,1989,1.0 (1983–2000),0,19,autumn leaves; all blues,take the a train; i didn t know,the lizards,612.467
1989-03-12_nectar-s,1989-03-12,nectar-s,1989,1.0 (1983–2000),0,10,mike s song; i am hydrogen,foam,weekapaug groove,473.104
1989-03-13_nectar-s,1989-03-13,nectar-s,1989,1.0 (1983–2000),0,15,you enjoy myself; fee,david bowie; fire; free bird; golgi apparatus,you enjoy myself,1063.21
1989-03-14_nectar-s,1989-03-14,nectar-s,1989,1.0 (1983–2000),0,22,the curtain; ya mar,foam; fluffhead; good times bad times; halley s comet,you enjoy myself,1063.21
1989-03-24_the-paradise,1989-03-24,the-paradise,1989,1.0 (1983–2000),0,10,possum; mike s song,david bowie,divided sky,713.796
1989-03-30_the-front,1989-03-30,the-front,1989,1.0 (1983–2000),0,23,bold as love; mcgrupp and the watchful hosemasters,run like an antelope; golgi apparatus; rocky top; makisupa policeman,fluffhead,899.736
1989-03-31_the-front,1989-03-31,the-front,1989,1.0 (1983–2000),0,1,whipping post,whipping post,whipping post,597.512
1989-04-01_pearl-street-ballroom,1989-04-01,pearl-street-ballroom,1989,1.0 (1983–2000),0,1,la grange,la grange,la grange,317.29650000000004
1989-04-07_old-stone-church,1989-04-07,old-stone-church,1989,1.0 (1983–2000),0,2,colonel forbin s ascent; fly famous mockingbird,fly famous mockingbird,colonel forbin s ascent,441.2735
1989-04-13_valley-club-cafe,1989-04-13,valley-club-cafe,1989,1.0 (1983–2000),0,4,alumni blues; wilson,le freak,the mango song,445.283
1989-04-14_the-base-lodge-stearns-hall-johnson-state-college,1989-04-14,the-base-lodge-stearns-hall-johnson-state-college,1989,1.0 (1983–2000),0,19,ac dc bag; foam,fire; esther,you enjoy myself,986.723
1989-04-15_billings-lounge-university-of-vermont,1989-04-15,billings-lounge-university-of-vermont,1989,1.0 (1983–2000),0,24,mike s song; i am hydrogen,david bowie; good times bad times,you enjoy myself,1063.21
1989-04-19_johnny-d-s,1989-04-19,johnny-d-s,1989,1.0 (1983–2000),0,1,undun,undun,undun,240.74450000000002
1989-04-20_humphries-house-the-zoo-amherst-college,1989-04-20,humphries-house-the-zoo-amherst-college,1989,1.0 (1983–2000),0,22,ac dc bag; fluffhead,david bowie; harpua,you enjoy myself,871.314
1989-04-21_the-front,1989-04-21,the-front,1989,1.0 (1983–2000),0,2,i didn t know; contact,contact,contact,396.513
1989-04-27_strafford-room-memorial-union-building-university-of-new-hampshire,1989-04-27,strafford-room-memorial-union-building-university-of-new-hampshire,1989,1.0 (1983–2000),0,13,golgi apparatus; jam,whipping post; david bowie,divided sky,791.458
1989-04-30_night-stage,1989-04-30,night-stage,1989,1.0 (1983–2000),0,10,i didn t know; you enjoy myself,terrapin; possum,wilson,778.475
1989-05-01_pearl-street-ballroom,1989-05-01,pearl-street-ballroom,1989,1.0 (1983–2000),0,22,dinner and a movie; you enjoy myself,good times bad times; david bowie; contact,you enjoy myself,945.058
1989-05-03_tent-party-franklin-marshall-college,1989-05-03,tent-party-franklin-marshall-college,1989,1.0 (1983–2000),0,4,possum; you enjoy myself,contact,you enjoy myself,1063.21
1989-05-05_sigma-phi-house-hamilton-college,1989-05-05,sigma-phi-house-hamilton-college,1989,1.0 (1983–2000),0,14,golgi apparatus; you enjoy myself,run like an antelope; mcgrupp and the watchful hosemasters,you enjoy myself,952.66
1989-05-06_collis-center-dartmouth-college,1989-05-06,collis-center-dartmouth-college,1989,1.0 (1983–2000),0,21,you enjoy myself; i didn t know,david bowie; divided sky,you enjoy myself,844.643
1989-05-09_the-front,1989-05-09,the-front,1989,1.0 (1983–2000),0,23,wilson; peaches en regalia,divided sky; whipping post,you enjoy myself,1063.21
1989-05-13_the-orange-grove,1989-05-13,the-orange-grove,1989,1.0 (1983–2000),0,22,ac dc bag; alumni blues,david bowie; fire; whipping post,you enjoy myself,1001.796
1989-05-14_campus-pond-university-of-massachusetts,1989-05-14,campus-pond-university-of-massachusetts,1989,1.0 (1983–2000),0,7,ac dc bag; divided sky,possum,you enjoy myself,1063.21
1989-05-19_the-blue-pelican,1989-05-19,the-blue-pelican,1989,1.0 (1983–2000),0,2,possum; contact,contact,possum,555.3375
1989-05-20_northfield-mt-hermon-school-gymnasium,1989-05-20,northfield-mt-hermon-school-gymnasium,1989,1.0 (1983–2000),0,20,ac dc bag; alumni blues,possum; golgi apparatus; good times bad times,letter to jimmy page,964.624
1989-05-21_320-spear-street,1989-05-21,320-spear-street,1989,1.0 (1983–2000),0,15,harry hood; foam,divided sky; possum,you enjoy myself,891.298
1989-05-26_valley-club-cafe,1989-05-26,valley-club-cafe,1989,1.0 (1983–2000),0,20,bold as love; ac dc bag,you enjoy myself; golgi apparatus; possum; the practical song,you enjoy myself,1063.21
1989-05-27_alpha-delta-phi-fraternity-trinity-college,1989-05-27,alpha-delta-phi-fraternity-trinity-college,1989,1.0 (1983–2000),0,11,ac dc bag; mike s song,good times bad times,fluffhead,853.447
1989-05-28_ian-mclean-s-party-connie-condon-s-farm,1989-05-28,ian-mclean-s-party-connie-condon-s-farm,1989,1.0 (1983–2000),0,32,divided sky; run like an antelope,you enjoy myself; harry hood; jesus just left chicago,suzy greenberg,1063.21
1989-06-10_the-living-room,1989-06-10,the-living-room,1989,1.0 (1983–2000),0,7,run like an antelope; mcgrupp and the watchful hosemasters,good times bad times,you enjoy myself,1063.21
1989-06-14_private-party-stowe-high-school-graduation-lake-champlain,1989-06-14,private-party-stowe-high-school-graduation-lake-champlain,1989,1.0 (1983–2000),0,2,me and bobby mcgee; hotel california,hotel california,me and bobby mcgee,364.931
1989-06-23_the-paradise,1989-06-23,the-paradise,1989,1.0 (1983–2000),0,20,ac dc bag; you enjoy myself,run like an antelope; david bowie; good times bad times,you enjoy myself,958.38
1989-06-29_the-front,1989-06-29,the-front,1989,1.0 (1983–2000),0,3,possum; divided sky,foam,divided sky,777.509
1989-06-30_pearl-street-ballroom,1989-06-30,pearl-street-ballroom,1989,1.0 (1983–2000),0,15,funky bitch; you enjoy myself,run like an antelope; weekapaug groove,you enjoy myself,865.411
1989-07-01_les-foufounes-alectriques,1989-07-01,les-foufounes-alectriques,1989,1.0 (1983–2000),0,14,split open and melt; donna lee,i didn t know; fluffhead,you enjoy myself,1063.21
1989-08-12_burlington-boathouse,1989-08-12,burlington-boathouse,1989,1.0 (1983–2000),0,24,satin doll; on green dolphin street,take the a train; possum; contact,in a mellow tone,889.731
1989-08-17_the-front,1989-08-17,the-front,1989,1.0 (1983–2000),0,27,ya mar; suzy greenberg,weekapaug groove; the lizards; run like an antelope; fire,halley s comet,832.261
1989-08-19_collis-center-dartmouth-college,1989-08-19,collis-center-dartmouth-college,1989,1.0 (1983–2000),0,26,the oh kee pa ceremony; suzy greenberg,weekapaug groove; harry hood,you enjoy myself,1063.21
1989-08-23_the-living-room,1989-08-23,the-living-room,1989,1.0 (1983–2000),0,7,weekapaug groove,weekapaug groove; you enjoy myself,you enjoy myself,1063.21
1989-08-26_townshend-family-park,1989-08-26,townshend-family-park,1989,1.0 (1983–2000),0,25,fluffhead; colonel forbin s ascent,possum; david bowie; run like an antelope; la grange,you enjoy myself,1063.21
1989-09-09_dining-commons-bennington-college,1989-09-09,dining-commons-bennington-college,1989,1.0 (1983–2000),0,21,foam; the oh kee pa ceremony,david bowie; possum,ya mar,1063.21
1989-09-14_macphie-pub-tufts-university,1989-09-14,macphie-pub-tufts-university,1989,1.0 (1983–2000),0,14,the oh kee pa ceremony; suzy greenberg,david bowie; alumni blues,you enjoy myself,952.764
1989-09-16_tree-cafe,1989-09-16,tree-cafe,1989,1.0 (1983–2000),0,2,the mango song; funky bitch,funky bitch,the mango song,445.283
1989-09-21_pearl-street-ballroom,1989-09-21,pearl-street-ballroom,1989,1.0 (1983–2000),0,21,golgi apparatus; ya mar,david bowie; run like an antelope; good times bad times,you enjoy myself,1063.21
1989-10-01_the-front,1989-10-01,the-front,1989,1.0 (1983–2000),0,26,alumni blues; letter to jimmy page,run like an antelope; the lizards; highway to hell,bundle of joy,1050.488
